pygame 2.0.1 (SDL 2.0.14, Python 3.9.1)
Hello from the pygame community. https://www.pygame.org/contribute.html
Generation 49: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'R', 'D', 'L']. Fitness: 45.1
Generation 50: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 51: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 52: ['R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 53: ['R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L']. Fitness: 45.1
Generation 54: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 55: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 56: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 57: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 58: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
